重庆本地,#genre#
风云剧场,https://live.goodiptv.club/api/cqyx.php?id=fyjcHD#http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,https://live.goodiptv.club/api/cqyx.php?id=fyyyHD#http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
风云足球,https://live.goodiptv.club/api/cqyx.php?id=fyzqHD#http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
卫视频道,#genre#
湖南卫视,http://192.168.6.1:8000/udp/235.254.199.62:7980
江苏卫视,http://192.168.6.1:8000/udp/235.254.199.64:7980
浙江卫视,http://192.168.6.1:8000/udp/235.254.199.63:7980
东方卫视,http://192.168.6.1:8000/udp/235.254.199.73:7980
北京卫视,http://192.168.6.1:8000/udp/235.254.199.66:7980
广东卫视,http://192.168.6.1:8000/udp/235.254.197.186:7980
天津卫视,http://192.168.6.1:8000/udp/235.254.199.67:7980
安徽卫视,http://192.168.6.1:8000/udp/235.254.199.65:7980
山东卫视,http://192.168.6.1:8000/udp/235.254.199.69:7980
四川卫视,http://192.168.6.1:8000/udp/235.254.199.175:7980
湖北卫视,http://192.168.6.1:8000/udp/235.254.199.72:7980
辽宁卫视,http://192.168.6.1:8000/udp/235.254.199.68:7980
江西卫视,http://192.168.6.1:8000/udp/235.254.199.190:7980
贵州卫视,http://192.168.6.1:8000/udp/235.254.199.185:7980
河北卫视,http://192.168.6.1:8000/udp/235.254.199.184:7980
黑龙江卫视,http://192.168.6.1:8000/udp/235.254.199.70:7980
海南卫视,http://192.168.6.1:8000/udp/235.254.199.176:7980
东南卫视,http://192.168.6.1:8000/udp/235.254.199.129:7980
河南卫视,http://192.168.6.1:8000/udp/235.254.199.26:7980
吉林卫视,http://192.168.6.1:8000/udp/235.254.199.39:7980
山西卫视,http://192.168.6.1:8000/udp/235.254.199.41:7980
青海卫视,http://192.168.6.1:8000/udp/235.254.199.43:7980
云南卫视,http://192.168.6.1:8000/udp/235.254.199.25:7980
宁夏卫视,http://192.168.6.1:8000/udp/235.254.199.45:7980
新疆卫视,http://192.168.6.1:8000/udp/235.254.199.47:7980
甘肃卫视,http://192.168.6.1:8000/udp/235.254.199.48:7980
陕西卫视,http://192.168.6.1:8000/udp/235.254.199.40:7980
西藏卫视,http://192.168.6.1:8000/udp/235.254.199.46:7980
内蒙古卫视,http://192.168.6.1:8000/udp/235.254.199.42:7980
广西卫视,http://192.168.6.1:8000/udp/235.254.199.38:7980
深圳卫视,http://192.168.6.1:8000/udp/235.254.199.71:7980
厦门卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226199/index.m3u8
兵团卫视,http://192.168.6.1:8000/udp/235.254.197.171:7980
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
延边卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/wh7f454c46tw3347158460_-210329776/ott.mobaibox.com/PLTV/3/224/3221227590/index.m3u8?icpid=3&RTS=1669701948&from=40&popid=40&hms_devid=2111&prioritypopid=40&vqe=3
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
大弯区卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226203/1653149724-1-1651284940.m3u8
凤凰中文台,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯台,http://107.151.203.111:2209/135/hk.php?id=fhzx
地方频道,#genre#
四川经济,https://live.goodiptv.club/api/sxg.php?id=SCTV-2-H265_4000
四川文化旅游,https://live.goodiptv.club/api/sxg.php?id=SCTV-3-H265_4000
四川新闻,https://live.goodiptv.club/api/sxg.php?id=SCTV-4H265_4000
四川影视文艺,https://live.goodiptv.club/api/sxg.php?id=SCTV-5-scysH265_4000
四川妇女儿童,https://live.goodiptv.club/api/sxg.php?id=SCTV-7-_4000
四川科教,https://live.goodiptv.club/api/sxg.php?id=SCTV-ggSCTV-8_4000
四川乡村,https://live.goodiptv.club/api/sxg.php?id=SCTV-kjSCTV-9-_4000
东方新闻,http://[2409:8087:4c0a:22:1::18]:6610/170000001115/UmaiCHAN1312BESTVSMGSMG9/index.m3u8?AuthInfo=Stevp%2BWRKxtuMo8naIuwjKjhXSjQi%2BeaQRf9Ziq7KgRxPDH63cId6gXyoJkX5oXhqiHPA8BBLiWRr0QWb9LVbA%3D%3D
东方都市,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001015/index.m3u8?
五星体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001018/index.m3u8?
东方教育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001268/index.m3u8?
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8?
东方财经,http://[2409:8087:4400:20:1:a0f:11:9]:80/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226583/index.m3u8
海南新闻,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000015/index.m3u8?
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?IAS
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?IAS
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?IAS
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?IAS
数字电视,#genre#
CHC动作电影,http://192.168.6.1:8000/udp/235.254.199.247:7980
